,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,TM9000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9000w_2.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9000s_2.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9000a_2.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal']",['Wood']
2,TM9100,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9100w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9100s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9100a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
3,TM9110,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9110w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9110s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9110a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
4,TM9120,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9120w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9120s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9120a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
5,TM9130,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9130w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9130s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9130a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
6,TM9140,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9140w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9140s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9140a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
7,TM9150,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9150w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9150s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9150a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
8,TM9160,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9160w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9160s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9160a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
9,TM9170,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9170w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9170s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9170a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal']","['Wood', 'Leather']"
10,TM9200,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9200w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9200s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9200a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
11,TM9210,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9210w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9210s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9210a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
12,TM9220,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9220w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9220s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9220a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
13,TM9230,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9230w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9230s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9230a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
14,TM9240,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9240w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9240s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9240a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
15,TM9250,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/wide/tm9250w.png', 'type': 'Wide Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/standard/tm9250s.png', 'type': 'Standard Stiles'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/images/asymmetric/tm9250a.png', 'type': 'Asymmetric Stiles'}]",TruStile Modern (TM) Series,Interior,"[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['1/8"" Radius Reveal', '1/4"" Kerf Cut Reveal', 'Square Stick (SS) Profile', 'One-Step (OS) Profile', 'Square Stick (SS) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Compression Fit Sash']","['Wood', 'Glass', 'Leather', 'Metal']"
